question,text,question_clean
What is the name of a magazine published at KU?,Jayplay magazine,namemagazinepublishedku
What's the name of the cave system ,"an extensive network of caves, including Wookey Hole",whatsnamecavesystem
DNA from how many Russians show that the Y chromosomes fall into seven major haplogroups all characteristic to West Eurasian populations?,1228,dnamanyrussianshowchromosomefallsevenmajorhaplogroupscharacteristicwesteurasianpopulation
"When Andreessen left the company he worked for, what new company did he start?",Netscape,andreessenleftcompanyworkednewcompanystart
When did Henry IV's reign begin?,1084,henryivreignbegin
In which battle was the Hanover army destroyed?,Battle of Langensalza,battlehanoverarmydestroyed
How much was each copper token worth?,a halfpenny,muchcoppertokenworth
What is another term for the act of spying for another country?,espionage,anothertermactspyinganothercountry
What is the capacity of water that the dams on Cyprus can hold?,"330,000,000 m3 (1.2×1010 cu ft).",capacitywaterdamcyprushold
How are obstruents pronounced at the end of Dutch words?,voiceless,obstruentpronouncedenddutchword
Who opened the Imperial Institute in 1907?,Queen Victoria,openedimperialinstitute1907
Who defected to the British?,the defection of Hyderabad to the British,defectedbritish
What does Běidǒu translate as?,Northern Dipper,běidǒutranslate
To whom did Presbyterians complain in 1572?,Parliament,presbyteriancomplain1572
What kind of glands are in a female insect's reproductive system?,accessory glands,kindglandfemaleinsectreproductivesystem
Who was the president of alternative programming at Fox?,Mike Darnell,presidentalternativeprogrammingfox
At what time were togas with red were worn by Romans?,holidays,timetogaredwornroman
What are probably the earliest texts describing meditation techniques?,Buddhist texts,probablyearliesttextdescribingmeditationtechnique
"Who concluded that the University maintained a ""holistic"" approach to affirmative action?",US Court of Appeals for the Fifth Circuit,concludeduniversitymaintainedholisticapproachaffirmativeaction
What kind of tourist limit has been asked for by environmentalists?,tourism quota,kindtouristlimitaskedenvironmentalist
What are the higher heavens called?,Pure Abodes,higherheavencalled
What queen set up the Banská Akadémia?,queen Maria Theresa,queensetbanskáakadémia
How much was the Windows Media Center add-on during the original Windows 8 promotion?,free,muchwindowmediumcenteraddonoriginalwindow8promotion
What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes,magazinenamedbeyoncépowerfulfemalemusician2015
What did Great Britain control?,various colonial holdings in East Africa,greatbritaincontrol
When did the mandolinists stop playing in Paris?,Napoleonic Wars.,mandolinistsstopplayingparis
"How would it be determined who would win, in the event of an electoral tie?","The result of an electoral tie would cause the election to be decided in the House of Representatives with each state casting one vote, regardless of population",woulddeterminedwouldwineventelectoraltie
What do the proceeds from hunting assist with?,preservation of wildlife habitat,proceedshuntingassist
Which actor states there are widespread misconceptions about Eton?,Tom Hiddleston,actorstatewidespreadmisconceptioneton
When was the play for To Kill a Mockingbird first performed?,1990,playkillmockingbirdfirstperformed
What year did Cecil Woodham Smith writ Victorias biography?,1972,yearcecilwoodhamsmithwritvictoriabiography
What saying by Horace became famous?,"""Greece, although captured, took its wild conqueror captive""",sayinghoracebecamefamous
What did comics have in the United States because of cultural roots?,lowbrow reputation,comicunitedstateculturalroot
What did the Schengen Treaty do for policing?,formalized aspects of police information exchange across the territory of the European Union,schengentreatypolicing
Where is hunting still vital?,marginal climates,huntingstillvital
Where can the third lion be seen?,"the third is symbolised by the captain of the title winning team as he raises the trophy, and its gold crown, above his head at the end of the season",thirdlionseen
Where is Bardufoss Air Station located?,Norway,bardufossairstationlocated
"Other than being race and gender based, what did believers in affirmative action also feel that the system discriminated against?",class,racegenderbasedbelieveraffirmativeactionalsofeelsystemdiscriminated
What city is considered to be the nominal capital of the Republic of China?,Nanjing,cityconsiderednominalcapitalrepublicchina
Which dog-sled race in Alaska is the most famous?,Iditarod Trail Sled Dog Race,dogsledracealaskafamous
"If a provincial case is appealed, how is the Supreme Court's decision applied?",The court's decisions are final and binding,provincialcaseappealedsupremecourtdecisionapplied
When did parliamentary politics become irrelevant in Egypt?,late 1990s,parliamentarypoliticsbecomeirrelevantegypt
When was a smoking ban passed in the United Kingdom?,2007,smokingbanpassedunitedkingdom
What was the reason given for the closing of the SaberCats?,reasons unrelated to League operations,reasongivenclosingsabercats
What does Ganondorf crush?,Midna's helmet,ganondorfcrush
"Whose influence was Rastislav eager to reduce, when he invited  Michael III to send missionaries? ",East Francia,whoseinfluencerastislaveagerreduceinvitedmichaeliiisendmissionary
What is one of the Thunders nicknames?,OKC,onethundernickname
 If your were unable to match the source frequency with the design frequency of the antenna what could you use?,resonant multiples,unablematchsourcefrequencydesignfrequencyantennacoulduse
Who is responsible for regulating pollution in Melbourne?,EPA Victoria and several local councils,responsibleregulatingpollutionmelbourne
Some treaties contains provisions for what to happen if certain defined conditions are met?,self-termination,treatycontainsprovisionhappencertaindefinedconditionmet
Who provided  the emperor with sustenance and medical aid?,The Minister Steward,providedemperorsustenancemedicalaid
When were chronometers available for accurate location charting? ,late 18th,chronometeravailableaccuratelocationcharting
At lesser frequencies what can account for incorrect assumptions about efficiency?,man-made noise,lesserfrequencyaccountincorrectassumptionefficiency
The term Carnival is very common in areas with a large presence of which religious sect?,Catholic,termcarnivalcommonarealargepresencereligioussect
What is Neptune's mass? ,1.0243×1026 kg,neptunemass
"In 2014/15, how much were the teams apportioned in revenues?","In 2014/15, teams were apportioned revenues of £1.6 billion.",201415muchteamapportionedrevenue
How many people that are of Greek ascendancy live elsewhere than Greece ?,total number of Greeks living outside Greece and Cyprus today is a contentious issue,manypeoplegreekascendancyliveelsewheregreece
How long did the Persian empire control the northern India subcontinent?,two centuries,longpersianempirecontrolnorthernindiasubcontinent
What was the first Estonian language book to be published?,a Lutheran manuscript,firstestonianlanguagebookpublished
What was the name of the band which Madonna and Dan Gilroy started?,Breakfast Club,namebandmadonnadangilroystarted
What form of due process was a harbinger of our vary own habeas corpus?,Provocatio,formdueprocessharbingervaryhabeascorpus
What trees replaced chestnut trees?,oaks,treereplacedchestnuttree
What was one of Albert the Great's biggest contributions during the medieval period?,his study of Dionysus the Areopagite,onealbertgreatbiggestcontributionmedievalperiod
What leader sponsored the expedition that discovered Cape Verde?,Prince Henry the Navigator,leadersponsoredexpeditiondiscoveredcapeverde
What is the highest dam in the world?,Nurek Dam,highestdamworld
In what year did Louis die?,1382,yearlouisdie
Hysteria and loss of control after the birts of many of her children were likely caused by what?,post-natal depression,hysterialosscontrolbirtsmanychildlikelycaused
What does the Standard Output Sensitivity technique apply to?,sRGB images—typically JPEG,standardoutputsensitivitytechniqueapply
How many of five possible stars did CNET give the PS3 Slim?,four,manyfivepossiblestarcnetgiveps3slim
What phrases were used to describe Mary ?,"in every respect holy"", ""in all things unstained"", ""super-innocent"", and ""singularly holy"" are applied to her",phraseuseddescribemary
Pins or belts hold what in place?,garments,pinbeltholdplace
Which country gave Yugoslavia aid when Tito became estranged from the USSR?,US,countrygaveyugoslaviaaidtitobecameestrangedussr
Who may impeach the president?,parliament,mayimpeachpresident
What is the only method of travel currently available to Saint Helena?,ship,methodtravelcurrentlyavailablesainthelena
How is the credit to households accomplished?,by 'rolling back' the meter whenever the home produces more electricity than it consumes,credithouseholdaccomplished
In what decade were the leftovers of the Southampton friary destroyed?,1940s,decadeleftoversouthamptonfriarydestroyed
